event_id,source_type,source,source_url,city,date,title_or_name,lat,lon,severity,frequency_tier,extraction_method,confidence
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Monsoonal Rain),,,1.5,,gee_global_flood_db,medium
bengaluru-hs000,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),bengaluru,,Silk Board Junction,12.91582,77.62404,chronic,chronic,curated+geocoded,high
bengaluru-hs001,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),bengaluru,,KR Circle,12.97571,77.5872,chronic,chronic,curated+geocoded,high
bengaluru-hs002,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),bengaluru,,Hebbal Flyover,13.04086,77.5898,chronic,chronic,curated+geocoded,high
bengaluru-hs007,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),bengaluru,,HSR Layout 14th Main Road,12.91274,77.63801,recurring,recurring,curated+geocoded,medium
bengaluru-hs008,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),bengaluru,,HSR Layout 5th Main Road,12.91557,77.63245,recurring,recurring,curated+geocoded,medium
bengaluru-hs010,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),bengaluru,,Roopena Agrahara,12.91199,77.62604,recurring,recurring,curated+geocoded,medium
bengaluru-hs014,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),bengaluru,,Jayadeva Underpass,12.91806,77.59997,chronic,chronic,curated+geocoded,high
bengaluru-hs015,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),bengaluru,,Marathahalli,12.98225,77.69905,chronic,chronic,curated+geocoded,high
bengaluru-hs017,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),bengaluru,,Kundalahalli,12.96885,77.7169,recurring,recurring,curated+geocoded,medium
bengaluru-hs018,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),bengaluru,,Thubarahalli,12.95592,77.72154,recurring,recurring,curated+geocoded,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Monsoonal rain),,,2,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Heavy rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Heavy rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Heavy rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Monsoonal rain),,,2,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Heavy rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Heavy monsoon rains),,,1.5,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Dam release and Heavy  Rain),,,2,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,bengaluru,,DFO flood (Heavy Rain),,,2,,gee_global_flood_db,medium
